,prob_up,sentiment_norm,final_score
COST,0.515656,0.73005,0.5799742020511627
LLY,0.52530646,0.6794,0.571534524269104
XOM,0.50856996,0.6971499999999999,0.5651439631175994
MSFT,0.58559674,0.5095,0.5627677122116088
UNH,0.49434018,0.7056,0.5577181329059601
PG,0.5169658,0.63575,0.5526010704994202
WMT,0.49268335,0.67715,0.5480233457279206
HD,0.45709392,0.72525,0.5375407499790191
JPM,0.46145183,0.70665,0.5350112858963012
V,0.48279202,0.64905,0.5326694019699096
AMZN,0.47174934,0.66115,0.5285695438098907
JNJ,0.4693148,0.6254500000000001,0.5161553576087952
MA,0.46242878,0.61215,0.5073451299858093
BRK-B,0.44945398,0.6249,0.502087782831192
GOOGL,0.4348702,0.6082,0.4868691463088989
NVDA,0.41214833,0.57045,0.4596388256645203
AVGO,0.32912377,0.7287,0.4489966297006607
AAPL,0.36171997,0.64215,0.4458489582729339
TSLA,0.27172798,0.778,0.4236095824480057
META,0.2724803,0.57215,0.3623812192869187
